Date,Open,High,Low,Close,Volume
2024-07-01,2524.204645139921,2548.0844312735276,2515.934934565753,2539.8147206993594,8340917
2024-07-02,2535.631887957191,2537.3254203716774,2533.6296888403976,2535.323221254884,10099723
2024-07-03,2517.8568308155745,2536.20241998956,2509.093114361853,2527.4387035358386,5826327
2024-07-04,2493.876894506897,2521.3510710750625,2492.014685743965,2519.4888623121305,13547705
2024-07-05,2532.371478122679,2533.139469394161,2530.6819084776484,2531.4498997491305,14940513
2024-07-08,2550.772347194791,2556.288299393369,2541.5797829172707,2547.0957351158486,9187496
2024-07-09,2549.0062826100575,2565.2071338383817,2538.0303249262383,2554.2311761545625,11564083
2024-07-10,2560.8753077981514,2563.030370086783,2534.209032079865,2536.364094368497,7356825
2024-07-11,2515.7666616277725,2545.8371875498538,2497.938133300642,2528.0086592227235,5315836
2024-07-12,2525.355839034575,2544.6987865433216,2511.5903254388973,2530.9332729476437,6759996
2024-07-15,2552.2433930672914,2558.0772098890984,2541.323656926531,2547.157473748338,8685687
2024-07-16,2548.2230152472266,2571.2954936727315,2522.5395829936033,2545.612061419108,4709003
2024-07-17,2529.7141987014757,2548.7315895067964,2524.1319087433894,2543.14929954871,15006855
2024-07-18,2587.313487100929,2608.1116565018856,2578.3162131072877,2599.1143825082445,198732
2024-07-19,2606.565340978791,2614.5210251250255,2599.5831452915054,2607.53882943774,10420443
2024-07-22,2603.612434781794,2604.7428911408474,2593.8542982110093,2594.9847545700627,11110846
2024-07-23,2622.86402302963,2640.0279046620844,2617.561909928941,2634.7257915613955,11131570
2024-07-24,2650.9688937138703,2690.821533917036,2616.4012322968083,2656.253872499974,10352328
2024-07-25,2620.832763312018,2655.7902492018557,2599.9417416849296,2634.8992275747673,10880738
2024-07-26,2607.750514900422,2633.710069051986,2603.4668688898805,2629.4264230414447,15769494
2024-07-29,2655.465537196006,2659.6301194319694,2644.483861649591,2648.648443885554,5767605
2024-07-30,2610.4041744235624,2626.930526753913,2597.8240752211673,2614.350427551518,5898660
2024-07-31,2620.7818509233157,2628.563825398218,2603.3705380159463,2611.1525124908485,13970853
2024-08-01,2623.0548875478926,2632.032502848751,2603.415155177057,2612.3927704779153,7512982
2024-08-02,2619.7430725444015,2633.4561872582876,2608.360915219992,2622.074029933878,18772448
2024-08-05,2589.4268336016726,2616.2035394498166,2572.747397047761,2599.524102895905,11714118
2024-08-06,2562.013394717692,2610.1103909927283,2526.442364631969,2574.5393609070056,14302963
2024-08-07,2568.235692629469,2582.5411972095794,2559.754245676358,2574.0597502564683,11570937
2024-08-08,2566.6424121457603,2582.0059810662187,2556.1135506246846,2571.477119545143,11136199
2024-08-09,2568.2902304855634,2599.4790237462857,2537.8989153994676,2569.08770866019,11108167
