Date,Open,High,Low,Close,Volume
2024-07-01,601.9684387468718,605.7102255140006,599.1430459417447,602.8848327088735,3357983
2024-07-02,597.3401385361167,604.0780273117559,586.2260262557255,592.9639150313648,12274606
2024-07-03,593.2403879512491,599.120537569599,588.8958996571806,594.7760492755306,4766476
2024-07-04,601.8995985540123,606.0863332914298,596.9864667764019,601.1732015138194,5995190
2024-07-05,592.8881796191675,605.3971584463719,585.0818860473404,597.5908648745448,7695928
2024-07-08,593.8221490003343,594.7304072256604,585.5137532190416,586.4220114443677,9495015
2024-07-09,588.757755778347,592.7260933865438,581.7650120716793,585.733349679876,15107504
2024-07-10,589.4513952928662,599.5949655053781,584.0166388010831,594.160209013595,7110789
2024-07-11,606.4424551372891,609.1324455020635,600.5900111385569,603.2800015033313,5128520
2024-07-12,604.781445153943,607.0669682732729,598.2984091126242,600.5839322319541,4889174
2024-07-15,586.3315074541863,590.1322322981068,583.3066837574381,587.1074086013587,9019395
2024-07-16,582.7122604263087,588.1510968816319,580.9825112508702,586.4213477061934,15186108
2024-07-17,579.5264332056705,586.0390620346938,578.8979593835343,585.4105882125575,7090244
2024-07-18,581.9212601572419,585.1108831309878,581.5615433574386,584.7511663311844,2519957
2024-07-19,580.5044247191539,588.9405148949025,574.0968195831448,582.5329097588934,13392361
2024-07-22,594.555487186157,596.3254468168865,591.430298146602,593.2002577773314,15170688
2024-07-23,594.2672879760456,594.57541376817,592.9213071560523,593.2294329481767,11392243
2024-07-24,598.0887021561092,603.0323085997973,594.9016459317957,599.8452523754837,5748063
2024-07-25,604.920650415416,605.9354966344542,603.5189222395909,604.5337684586291,8071973
2024-07-26,613.8131495158344,616.6054347017722,607.8575705263307,610.6498557122685,8031272
2024-07-29,594.9058062972853,599.5396731076265,588.5274334145713,593.1613002249126,12339635
2024-07-30,599.170293137067,602.3323026121163,597.0549186413224,600.2169281163717,13483723
2024-07-31,590.4960524305899,595.3028736940264,585.548582962499,590.3554042259356,16205632
2024-08-01,570.2121752956922,574.0869875300492,567.8783005285869,571.7531127629439,1165045
2024-08-02,571.0074253540938,579.3180804521437,567.5362240857773,575.8468791838272,16205334
2024-08-05,585.7482748587324,590.3941091524935,581.4737080693242,586.1195423630852,7381105
2024-08-06,596.4964568830162,600.4899744118239,594.1683876264533,598.161905155261,11992520
2024-08-07,592.9627826415506,593.8372606118712,591.2829731251554,592.1574510954761,6959709
2024-08-08,598.8662273077438,604.2576651209714,595.5481455876388,600.9395834008665,9691311
2024-08-09,595.3021432890628,598.1826895358498,589.9157904891154,592.7963367359024,19031300
2024-08-12,602.6309278963379,604.27821933191,601.6279370276359,603.275228463208,10873915
2024-08-13,614.7773947993427,616.5223107701252,612.9074452437654,614.6523612145479,16791677
2024-08-14,624.02142067423,627.419572929087,619.7184024495374,623.1165547043945,10005960
2024-08-15,637.0081891793557,639.1888109727704,632.874322759788,635.0549445532027,16423869
2024-08-16,619.1404609130043,626.3325097550837,615.2583898771461,622.4504387192255,19047977
2024-08-19,620.3137913631086,624.3286486959869,616.7348772735775,620.7497346064557,13556997
2024-08-20,621.6429455426254,630.5262605961709,612.2067058582095,621.090020911755,11924999
2024-08-21,628.3362162576282,628.9332359979403,628.2363939122199,628.833413652532,12296505
2024-08-22,619.5363888435596,629.2324200351534,611.646600760124,621.3426319517177,15133816
2024-08-23,610.546732457574,613.5051338936591,608.8460377419069,611.8044391779921,8156200
2024-08-26,613.1106125624149,617.8658501314203,608.7424903603919,613.4977279293973,10730474
2024-08-27,605.6536699856825,611.9779981586903,602.5309586115212,608.855286784529,14886773
2024-08-28,618.3642910818173,620.8912231662099,617.8265127773594,620.353444861752,12387559
2024-08-29,646.1020096194691,648.5177588155454,643.9763473456204,646.3920965416968,15045808
2024-08-30,640.6727325268872,644.7760693937312,637.6654383284964,641.7687751953404,12226335
2024-09-02,640.1793606989094,641.4146268817036,640.1650759772511,641.4003421600454,13694662
2024-09-03,640.7796679414693,645.9792659397483,640.52478916814,645.7243871664191,6403134
2024-09-04,638.5908661584353,647.9958312492935,637.0198117285554,646.4247768194135,3522054
2024-09-05,655.040560958442,658.7824947356088,652.9660610661848,656.7079948433516,10209955
2024-09-06,655.3641934688993,659.2812674968748,652.9741079506049,656.8911819785803,3587376
2024-09-09,663.0334757538219,664.2804729870776,659.8202824584355,661.0672796916912,8513009
2024-09-10,663.2060916360674,664.7960352525185,658.196103744147,659.7860473605981,17734953
2024-09-11,658.7323767191797,662.3520703186464,651.6681258550153,655.287819454482,8498545
2024-09-12,655.7859428569527,661.4772330822334,653.1482826572709,658.8395728825516,11845008
2024-09-13,653.3066691828617,658.1794976597395,649.9767316508841,654.8495601277618,10134999
2024-09-16,658.6899909702627,660.449826286875,654.1538339332254,655.9136692498378,6480555
2024-09-17,654.7211572114558,656.0502653738964,652.0180208331725,653.3471289956132,18291456
2024-09-18,650.7063542913189,652.2734449038978,647.4452246170271,649.012315229606,14911590
2024-09-19,649.0987837789944,649.4726447370247,647.6311810818352,648.0050420398654,12967754
2024-09-20,633.2638295665171,641.3440234204511,628.0104462698444,636.0906401237784,7039878
2024-09-23,643.6878838073418,647.1060048099914,640.3395417581434,643.757662760793,17286363
2024-09-24,652.4295815657512,654.4607656577728,644.6796609156445,646.7108450076661,12938767
2024-09-25,647.6936315796966,651.2583532847041,640.9324024366764,644.4971241416839,12530275
2024-09-26,639.6656259866286,647.1023073684215,633.4045270668182,640.8412084486112,15459976
2024-09-27,639.7732725760975,641.433983878941,638.7390561217142,640.3997674245577,11987067
2024-09-30,630.528249154652,638.754699677329,626.4318160600799,634.6582665827568,4286635
2024-10-01,635.6466215089205,637.9895300916096,632.9996548267364,635.3425634094256,5389832
2024-10-02,634.2555368611404,635.5074100686398,633.3554335782052,634.6073067857046,5741909
