Date,Open,High,Low,Close,Volume,DMA20,DMA50,DMA200,RSI,MACD,MACD_Signal,MACD_Hist,Vol_Avg20,RSI_Oversold,RSI_Overbought,RSI_Bull_Cross,RSI_Bear_Cross,MACD_Bull_Cross,MACD_Bear_Cross,Above_DMA50,Golden_Cross,Death_Cross
2024-07-01,2139.648485631672,2182.3581880849824,2114.5592269678737,2157.268929421184,10410165,,,,50.0,0.0,0.0,0.0,,False,False,False,False,False,False,False,False,False
2024-07-02,2146.1909731501323,2152.60485429245,2135.08965079721,2141.503531939528,8391138,,,,50.0,-1.2576385455454329,-0.25152770910908656,-1.0061108364363462,,False,False,False,False,False,False,False,False,False
2024-07-03,2146.4421106997816,2165.912467589197,2127.07920701864,2146.5495639080555,7024408,,,,50.0,-1.826103362423055,-0.5664428397718803,-1.2596605226511746,,False,False,False,False,False,False,False,False,False
2024-07-04,2149.550475397613,2150.3217547989025,2146.096318535675,2146.8675979369646,7096226,,,,50.0,-2.2253012495516487,-0.898214521727834,-1.3270867278238145,,False,False,False,False,False,False,False,False,False
2024-07-05,2144.5595849264555,2177.9851857088497,2117.611966640085,2151.0375674224792,4920795,,,,50.0,-2.1800564300865517,-1.1545829033995776,-1.0254735266869741,7568546.4,False,False,False,False,False,False,False,False,False
2024-07-08,2165.0248362581565,2171.908505687845,2158.345603152101,2165.2292725817892,4938378,2151.409410535,,,50.0,-0.9876624257162803,-1.121198807862918,0.13353638214663777,7130185.0,False,False,False,False,True,False,False,False,False
2024-07-09,2153.2433959896125,2173.5029259386806,2140.0193566065414,2160.2788865556095,3794911,2152.676478537944,,,50.0,-0.43709777565482,-0.9843786014212985,0.5472808257664785,6653717.285714285,False,False,False,False,False,False,False,False,False
2024-07-10,2127.8514032348435,2142.7812743823147,2126.2086217281844,2141.1384928756556,2526614,2151.2342303301584,,,50.0,-1.5276315453675124,-1.0930291902105413,-0.4346023551569711,6137829.375,False,False,False,False,False,True,False,False,False
2024-07-11,2150.1592598760785,2160.3546731791935,2128.039068814563,2138.234482117678,10287593,2149.789813862105,,,50.0,-2.596288416344578,-1.3936810354373488,-1.202607380907229,6598914.222222222,False,False,False,False,False,False,False,False,False
2024-07-12,2101.93200241722,2120.6988454358593,2097.2229085205795,2115.989751539219,8442328,2146.4098076298164,,,50.0,-5.178476285433135,-2.150640085436506,-3.027836199996629,6783255.6,False,False,False,False,False,False,False,False,False
2024-07-15,2126.093855365178,2130.393180301997,2114.098490313534,2118.397815250353,7012255,2143.8632628680466,,,50.0,-6.950447724025253,-3.1106016131542553,-3.8398461108709974,6804073.7272727275,False,False,False,False,False,False,False,False,False
2024-07-16,2097.9611093220396,2107.1210404748635,2093.9845594348967,2103.1444905877206,7275115,2140.470031844686,,,50.0,-9.476326485479603,-4.383746587619325,-5.092579897860278,6843327.166666667,False,False,False,False,False,False,False,False,False
2024-07-17,2086.6415835114108,2111.561043315731,2084.039706882436,2108.959166686756,8092916,2138.04611914023,,,50.0,-10.88345019683311,-5.683687309462083,-5.199762887371027,6939449.384615385,False,False,False,False,False,False,False,False,False
2024-07-18,2074.31936737889,2085.0758316221754,2072.7320271695985,2083.488491412884,6048829,2134.149145731134,,,50.0,-13.893718366358371,-7.325693520841341,-6.56802484551703,6875833.642857143,False,False,False,False,False,False,False,False,False
2024-07-19,2084.210618590595,2098.819540622944,2060.953003349975,2075.561925382324,4899731,2130.2433310412134,,,10.29531028601933,-16.7261762638218,-9.205790069437432,-7.520386194384367,6744093.466666667,True,False,False,False,False,False,False,False,False
2024-07-22,2055.6748710169545,2075.522442942193,2030.387525801471,2050.2350977267092,7916565,2125.242816459057,2125.242816459057,,8.925041866025012,-20.775100455002303,-11.519652146550406,-9.255448308451896,6817372.9375,True,False,False,False,False,False,False,False,False
2024-07-23,2055.9273552355435,2069.4950271536804,2033.1731593605102,2046.740831278647,5325494,2120.625052624915,2120.625052624915,,8.751967866600666,-23.98932612822273,-14.01358694288487,-9.975739185337858,6729615.352941177,True,False,False,False,False,False,False,False,False
2024-07-24,2035.7638313582459,2046.2053011535777,2014.5473053900166,2024.9887751853485,2758530,2115.311926100495,2115.311926100495,,7.745089544860903,-27.969418225758545,-16.804753199459608,-11.164665026298938,6508999.5,True,False,False,False,False,False,False,False,False
2024-07-25,1981.802766297858,1999.4240431461862,1965.3008239975832,1982.9221008459115,5134819,2108.34404056078,2108.34404056078,,6.248035962281932,-34.12473029249213,-20.268748618066112,-13.855981674426019,6436674.2105263155,True,False,False,False,False,False,False,False,False
2024-07-26,1995.9439090376945,1999.0556448646153,1985.5992227464963,1988.710958573417,11035631,2102.362386461412,2102.362386461412,,8.858784818586287,-38.09659320078754,-23.8343175346104,-14.262275666177139,6666622.05,True,False,False,False,False,False,False,False,False
2024-07-29,1972.1384486205807,1973.1082421199183,1962.453783648564,1963.4235771479016,4688559,2092.6701188477477,2095.746252684578,,7.832681994202346,-42.79152940276049,-27.62575990824042,-15.16576949452007,6380541.75,True,False,False,False,False,False,False,False,False
2024-07-30,1998.9701567469945,2014.329467267651,1977.4253888876613,1992.7846994083177,11350285,2085.2341772211867,2091.0661820811115,,19.49284649176876,-43.64004767808774,-30.828617462209884,-12.811430215877856,6528499.1,True,False,False,False,False,False,False,False,False
2024-07-31,1990.9003024766178,2016.0917894821462,1985.0799624312576,2010.271449436786,6081569,2078.4202714976236,2087.553367618315,,25.53511967830387,-42.412564299755786,-33.145406829719064,-9.267157470036722,6481357.15,True,False,False,False,False,False,False,False,False
2024-08-01,2012.0283083363925,2021.7527554747087,2004.5978837657683,2014.3223309040845,1645107,2071.7930081459795,2084.5020744218887,,26.90374982105594,-40.644379492563075,-34.64520136228787,-5.9991781302752045,6208801.2,True,False,False,False,False,False,False,False,False
2024-08-02,1983.6055572625035,1993.3435923294928,1970.9027585459487,1980.640793612938,5225637,2063.2731694555027,2080.3476231895306,,23.10179175305275,-41.482711983172294,-36.01270348646476,-5.4700084967075355,6224043.3,True,False,False,False,False,False,False,False,False
2024-08-05,2007.2076131927092,2019.0526937338109,1980.9815744658665,1992.8266550069682,6453350,2054.6530385767614,2076.981432105586,,27.11491224988835,-40.69469622235192,-36.94910203364219,-3.745594188709731,6299791.9,True,False,False,False,False,False,False,False,False
2024-08-06,1985.111887557502,1985.3717745023205,1982.1261805554868,1982.3860675003052,10095867,2045.7583976239962,2073.4779000831677,,25.86924206170235,-40.44641511429336,-37.648564649772425,-2.797850464520934,6614839.7,True,False,False,False,False,False,False,False,False
2024-08-07,1981.8199755179055,2015.4680815934769,1972.2158454041116,2005.863951479683,4164318,2038.9946705541975,2071.063116204472,,33.2908648277773,-37.91808543738239,-37.702468807294416,-0.21561663008797183,6696724.9,False,False,True,False,False,False,False,False,False
2024-08-08,2007.336572857483,2016.6251048894685,1985.8513269457926,1995.1398589777782,3684220,2031.8399393972027,2068.4450728518273,,31.72831551048378,-36.36056859166524,-37.43408876416858,1.0735201725033363,6366556.25,False,False,False,False,True,False,False,False,False
2024-08-09,2009.1201623759846,2011.7362022347634,1998.4999830940635,2001.1160229528423,3691434,2026.0962529678836,2066.200771188528,,33.598704117384216,-34.249195377304204,-36.797110086795705,2.5479147094915007,6129011.55,False,False,False,False,False,False,False,False,False
2024-08-12,1977.2539932511268,1984.3663612484374,1969.4564626320519,1976.5688306293625,5275588,2019.0048037368342,2063.3094182672644,,29.967089180986335,-34.162861957358245,-36.27026046090821,2.107398503549966,6042178.2,True,False,False,False,False,False,False,False,False
2024-08-13,1959.8308093944129,1964.721319814494,1954.7435393830453,1959.6340498031266,9854230,2011.8292816976045,2060.0695630027603,,27.73948464704634,-35.05682413633281,-36.02757319599313,0.9707490596603208,6171133.95,True,False,False,False,False,False,False,False,False
2024-08-14,1972.0855798805349,1988.383948980968,1965.1056415634855,1981.4040106639186,6697022,2005.4515238964627,2057.6857583864316,,34.48192922137228,-33.62107883311478,-35.54627432341746,1.9251954903026771,6101339.25,False,False,True,False,False,False,False,False,False
2024-08-15,1985.8238153941672,1987.9717828595724,1983.5307725723628,1985.678740037768,4798235,2000.561036327707,2055.5679049055884,,35.749661107229514,-31.77205690666119,-34.791430840066205,3.0193739334050136,6038809.55,False,False,False,False,False,False,False,False,False
2024-08-16,1993.122727757394,2006.6394155451428,1978.425810932769,1991.942498720518,5718982,1996.3800649946165,2053.750036157444,,37.65332675726461,-29.461645224272615,-33.72547371690749,4.263828492634872,6079772.1,False,False,False,False,False,False,False,False,False
2024-08-19,2018.2756032688674,2028.8139017225467,2002.7048331004564,2013.2431315541357,3594549,1994.5304666859877,2052.6248443629074,,43.7561712017919,-25.616552594941368,-32.10368949251426,6.487136897572896,5863671.3,False,False,False,False,False,False,False,False,False
